,Name,Publisher,Description,Total Episodes,URL
1,ChannelB پادکست فارسی,Ali Bandari,در هر اپیزود پادکست فارسی چنل‌بی گزارش یک ماجرای واقعی را به نقل از یک رسانه‌ی معتبر انگلیسی‌زبان برای شما تعریف می‌کنیم. Hosted on Acast. See acast.com/privacy for more information.,96,https://open.spotify.com/show/2PmMxFZ4OIW5DoUY1rRBB7
2,پادکست رخ,Rokh Podcast,داستان زندگی کسانی که قسمتی از تاریخ ایران و جهان  را رقم زدند,76,https://open.spotify.com/show/0hDXe6EN56UZsPBrh1z4Jo
3,پادکست آرامش,arameshpodcast.com,هدف پادکست آرامش، هدیه کردن دقایقی آرامش و احساسات مثبت به شماست.  مدیتیشن، پادکست روانشناسی و داستان های کوتاه و انگیزه بخش,29,https://open.spotify.com/show/7cr35mqkp0UbVPCnZqfa1o
4,پادکست فوتبال۳۶۰ || Football 360,پادکست فوتبال ۳۶۰,پادکست تحلیلی فوتبال ایران اختصاصی وب‌سایت فوتبال ۳۶۰ با حضور هیوا یوسفی، مجتبی هاشمی و محمد مظفری,60,https://open.spotify.com/show/7mNc1aXM1WlF8tLXnI4Qha
5,رواق / Ravaq,Farzin Ranjbar,می‌ترسید بی‌آنکه بداند می‌ترسد. غمگین بود بی‌آنکه بداند از چه. می‌خواست برود، بی‌آنکه بداند به کجا. دلتنگ بود، بی‌آنکه بداند برای که. _ پادکست رواق با رویکردی روانشناختی به اگزیستانسیالیسم می‌پردازه و ساده‌تر از اسمش، ریشه‌ی بسیاری از احساسات عمیق آدمی رو واکاوی می‌کنه، غمها، ترسها، آرزوها. هدف رواق کشفِ فردیِ مخاطبان از ابعادِ زیستِ اصیله و من با تکیه بر آثار اروین یالوم، در این مکاشفه همراه شما هستم. _ من فرزین رنجبر هستم.,106,https://open.spotify.com/show/4kIMh97oUjV7OVsnuXdrPB
6,پادکست کتاب کست - KetabCast,MONTANA,📚کتاب کست - Ketab Cast ، پادکست کتاب های صوتی به زبان فارسی در ژانرهای مختلف هست که در هر فصل یک کتاب به صورت کامل قرار داده شده.  🔰 شروع به کار : 1399/09/01 - Since: 09/22/2020  ✅ لینک های ما: https://linktr.ee/KetabCast https://twitter.com/KetabCast https://Instagram.com/KetabCastPodcast  🔴کتاب‌های صوتی موجود در کتاب کست، برای همه سنین و همه افراد مناسب نیست (اکثر کتاب ها بدون سانسور و حذفیات هستند)! 🎧لطفا با به اشتراک گذاری این پادکست با دیگران، ما را در ادامه هرچه بهتر پادکست یاری کنید. ❤ همچنین با لایک کردن و دادن Rating به ما در هر پلتفرمی که کتاب کست رو از اون گوش میکنید مارو حمایت کنید. 📚لطفا این پادکست را بر مبنای فصل Sort کنید،چون در هر فصل 1 کتاب قرار گرفته و یافتن کتاب ها بر مبنای فصل برای شما آسان تر خواهد بود. 🕐هر روز ساعت 1 ظهر به وقت ایران، منتظر قسمت های جدید باشید.  🎙 لیست کتاب‌های پادکست: فصل 1 - دنیای سوفی فصل 2- استخوان های دوست داشتنی فصل 3 - پاپیون فصل 4 - امپراتوری هیتلر فصل 5 - آنا کارنینا فصل 6 - صد سال تنهایی فصل 7 -  قلعه حیوانات فصل 8 - بیست هزار فرسنگ زیر دریا فصل 9 - نود و سه فصل 10 - بینوایان فصل 11 - پدر پولدار، پدر بی پول فصل 12 -  1984 فصل 13 - کیمیاگر فصل 14 - تاریخ جهان فصل 15 - زنان زیرک فصل 16 -  مسخ فصل 17 - مردی که هادلبرگ را به تباهی کشاند فصل 18 - تاریخ ایران (گزیده‌ای از تاریخ ایران) فصل 19 - دو قرن سکوت فصل 20 - انسان خردمند فصل 21 - انسان خداگونه فصل 22 - پستچي هميشه دوبار زنگ ميزند فصل 23 - چهار اثر از فلورانس اسکاول شین فصل 24 - پاسخ به تاریخ فصل 25 - نبرد من  فصل 26 - هملت فصل 27 - دیوید کاپرفیلد فصل 28 - بیشعوری فصل 29 - روانشناسی زنان فصل 30 - آثار صادق هدایت فصل 31 - عقاید یک دلقک فصل 32 - قصه های کوتاه برای بچه های ریش دار فصل 33 - کنفوسیوس فصل 34 - مردان مریخی و زنان ونوسی فصل 35 - قصه های مثنوی معنوی - مولانا فصل 36 - کودکی که هرگز بزرگ نخواهد شد فصل 37 - دکلمه های خسرو شکیبایی فصل 38 - پول فصل 39 - اثر مرکب فصل 40 - قانون توانگری فصل 41 - راز فصل 42 - کلیله و دمنه فصل 43 - شازده کوچولو فصل 44 - مرزبان‌نامه فصل 45 - شهریار فصل 46 - بختیارنامه فصل 47 - آثار آگاتا کریستی فصل 48 - سندباد نامه فصل 49 - قمارباز فصل 50 - طوطی نامه فصل 51 - سفر به مرکز زمین فصل 52 - زن زیادی فصل 53 - تخت خوابت را مرتب کن فصل 54 - کمدی حیوانی فصل 55 - مدیریت ارتباطات فصل 56 - خانه بچه ‏های خاصِ خانم پریگرین فصل 57 - چارلی و کارخانه شکلات سازی فصل 58 - کشتن مرغ مقلد فصل 59 - مرشد و مارگاریتا فصل 60 - 13 داستان از جلال آل احمد فصل 61 - سووشون فصل 62 - ثروتمندترین مرد بابل فصل 63 - گتسبی بزرگ فصل 64 - شب‌های روشن فصل 65 - تاریخ مشروطه ایران فصل 66 - غمنومه‌ی فریدون فصل 67 - انقلاب مجارستان فصل 68 - گیله مرد فصل 69 - دیوار فصل 70 - دشمنان فصل 71 - محاکمه فصل 72 - ورق پاره های زندان فصل 73 - خشم و هیاهو فصل 74 - لولیتا (درحال پخش) فصل 75 - سقوط - (بزودی),1189,https://open.spotify.com/show/1eoeo5t8CfjoucLoHDzD0r
7,هنر رندانه به تخم گرفتن!,Milad,کتاب صوتی هنر رندانه به تخم گرفتن | The subtle art of not giving a fuck نوشته مارک منسون ترجمه ارشاد نیک خواه  بخشی از پروژه Cool Audio Books (CAB Project) جهت تماس با من و گوش دادن به سایر کتاب ها به لینک زیر مراجعه شود: Zil.ink/CAB   Inastagram: @Milcaster,11,https://open.spotify.com/show/3vVLTCY3mRzC8p7A6kIzFK
8,جافکری | Jafekri,Amirali Gh,«جایی برای فکر کردن»,100,https://open.spotify.com/show/5ecpuLduCSvwnzJYNfry3i
9,‌BPLUS بی‌پلاس پادکست فارسی خلاصه کتاب,Ali Bandari,خلاصه‌ی فارسی کتابهای غیرداستانی Hosted on Acast. See acast.com/privacy for more information.,148,https://open.spotify.com/show/1i5dGHEke4qFfQ9C1lTUcV
10,کتاب صوتی رمان های مشهور,arefeh,کتاب هایی که باید یکبار تو زندگیت بخونی!  ۱-شب های روشن(فئودور داستایفسکی) ۲-طاعون(آلبرکامو) ۳-بادبادک باز(خالد حسینی) ۴-سه‌شنبه‌ها با موری(میچ آلبوم) ۵-نامه به کودکی که هرگز زاده نشد(اوریانا فالاچی) ۶-تنگسیر(صادق چوبک) ۷-کیمیاگر(پائولو کوئیلو) ۸-پیرمردودریا ۹-کافکاوعروسک‌ مسافر ۱۰-عشق سال های‌وبا کانال تلگرام ما: https://t.me/ketabhaye_sotii هدف ازین پادکست اینه دورهم جمع شیمو بیشتر کتاب گوش بدیم من می گردمو براتون رمان هایی رو پیدا میکنم که هر کس یکبار در زندگیش باید اون هارو خونده باشه و شما هم می تونید توی کامنت ها رمان های مورد علاقتونو به من معرفی کنید اگر ممکن بود براتون قرار داده بشه:))),147,https://open.spotify.com/show/3gMfoJfFdpod0wDYmt6Hru
11,Radio Deev/پادکست رادیو دیو,RadioDeev,در هر اپیزود از پادکست فارسی رادیو دیو با پرداختن به یک اقلیم یا موضوع ویژه با کمک ادبیات و موسیقی دستچین شده به سفری خیال پردازانه و جستجوگرانه می رویم Hosted on Acast. See acast.com/privacy for more information.,43,https://open.spotify.com/show/1KZXcjPkHVeaziGYY3eGDO
12,داستان‌های تاریخی,فرهاد مهرآبادی,پادکست داستان‌های تاریخی، به دنبال سه کلمه‌ی گمشده است؛ «شناخت» و «اخلاق» و «نتیجه». در اصل میخواهیم در کنارهم با شناسایی خلقیات اجتماعی نتایج مفیدی کسب کنیم.  Website : www.Qajartime.com instagram : @QajarTime Support Email : info@Qajartime.com .,79,https://open.spotify.com/show/19sN683qqCsNMp3j4rV8Lt
13,پادکست آذرخش مکری - azarakhsh mokri,nimac,پادکست های دکتر آذرخش مکری  این پادکست غیر رسمی بوده و تنها برای دسترسی راحت تر خودمون ایجاد شده آذرخش مکری - azarakhsh mokri https://t.me/DrAzarakhshMokri,274,https://open.spotify.com/show/0jAHN19ZtXqzcs4zC9JlFX
