,Name,Publisher,Description,Total Episodes,URL
1,ChannelB پادکست فارسی,Ali Bandari,در هر اپیزود پادکست فارسی چنل‌بی گزارش یک ماجرای واقعی را به نقل از یک رسانه‌ی معتبر انگلیسی‌زبان برای شما تعریف می‌کنیم.,83,https://open.spotify.com/show/2PmMxFZ4OIW5DoUY1rRBB7
2,Radio Deev / پادکست رادیو دیو,RadioDeev,پادکست فارسی رادیو دیو مجله ی شنیداری فرهنگی هنری هر اپیزود با کلاژی از ادبیات و موسیقی، شما را به سفری خیال پردازانه و جستجوگرانه می‌برد,32,https://open.spotify.com/show/1KZXcjPkHVeaziGYY3eGDO
3,پادکست رخ,Rokh Podcast,داستان زندگی کسانی که قسمتی از تاریخ را رقم زدند,22,https://open.spotify.com/show/0hDXe6EN56UZsPBrh1z4Jo
4,Masty o Rasty | پادکست فارسی مستی و راستی,King Raam,"Welcome to Masty o Rasty ""The Drunken Truth"" podcast. In this show I tell some funny, crazy and sad stories of my life as a nomadic artist and cultural miscreant. I sometimes even have guests who are brave enough to get as intoxicated as I am and delve into the taboo issues of our culture. Come on this ride as we shed light the dark night of the soul.  (This show is currently in Persian and I hope to start the English version sometime in the near future.)",142,https://open.spotify.com/show/35RtCrgybsUG3dosldneKK
5,پادکست کتاب کست - KetabCast,کتاب کست - KetabCast,📚کتاب کست - Ketab Cast ، پادکست کتاب های صوتی به زبان فارسی در ژانرهای مختلف هست که در هر فصل یک کتاب به صورت کامل قرار داده شده.  ⛔کتاب‌های صوتی موجود در کتاب کست، برای همه سنین و همه افراد مناسب نیست! 🎧لطفا با به اشتراک گذاری این پادکست با دیگران، ما را در ادامه هرچه بهتر پادکست یاری کنید. ❤ همچنین با لایک کردن و دادن Rating به ما در هر پلتفرمی که کتاب کست رو از اون گوش میکنید مارو حمایت کنید. 🔰لطفا این پادکست را بر مبنای فصل Sort کنید،چون در هر فصل 1 کتاب قرار گرفته و یافتن کتاب ها بر مبنای فصل برای شما آسان تر خواهد بود. 🕐هر روز ساعت 1 ظهر به وقت ایران، منتظر قسمت های جدید باشید.  🎙 لیست کتاب های پادکست: فصل 1 - دنیای سوفی فصل 2- استخوان های دوست داشتنی فصل 3 - پاپیون فصل 4 - امپراتوری هیتلر فصل 5 - آنا کارنینا فصل 6 - صد سال تنهایی فصل 7 -  قلعه حیوانات فصل 8 - بیست هزار فرسنگ زیر دریا فصل 9 - نود و سه فصل 10 - بینوایان فصل 11 - پدر پولدار، پدر بی پول فصل 12 -  1984 فصل 13 - کیمیاگر فصل 14 - تاریخ جهان فصل 15 - زنان زیرک فصل 16 -  مسخ فصل 17 - مردی که هادلبرگ را به تباهی کشاند فصل 18 - تاریخ ایران - (گزیده‌ای از تاریخ ایران) فصل 19 - دو قرن سکوت فصل 20 - انسان خردمند فصل 21 - انسان خداگونه فصل 22 - پستچي هميشه دوبار زنگ ميزند فصل 23 - چهار اثر از فلورانس اسکاول شین فصل 24 - پاسخ به تاریخ فصل 25 - نبرد من  فصل 26 - هملت فصل 27 - دیوید کاپرفیلد فصل 28 - بیشعوری فصل 29 - روانشناسی زنان فصل 30 - آثار صادق هدایت فصل 31 - عقاید یک دلقک فصل 32 - قصه های کوتاه برای بچه های ریش دار (درحال پخش)  ⚜لینک کانال تلگرام کتاب کست: https://t.me/KetabCastPodcast,533,https://open.spotify.com/show/1eoeo5t8CfjoucLoHDzD0r
6,پادکست آرامش,arameshpodcast.com,هدف پادکست آرامش، هدیه کردن دقایقی آرامش و احساسات مثبت به شماست.  مدیتیشن، پادکست روانشناسی و داستان های کوتاه و انگیزه بخش,29,https://open.spotify.com/show/7cr35mqkp0UbVPCnZqfa1o
7,‌BPLUS بی‌پلاس پادکست فارسی خلاصه کتاب,Ali Bandari,خلاصه‌ی فارسی کتابهای غیرداستانی,63,https://open.spotify.com/show/5HqY5kOdUaGvmQsWw6ZOkc
8,Digesttt/ پادکست دایجست,فرشاد محمودی,پادکست دایجست مسائل نسبتاً پیچیده دنیای اطراف مارا به زبانی بسیار ساده و خودمانی برای شما تعریف میکند.,41,https://open.spotify.com/show/0APHFnyp6hB6de0sf38Upi
9,پادکست جنایی آخرین شاهد,Mahdi Pourbaqi,این یک پادکست قصه گو نیست پرونده های جنایی واقعی حاوی مصادیق خشونت، حوادث آزاردهنده، مسائل جنسی و سوء مصرف مواد هستند و می توانند برای کودکان و افرادی که روحیه حساس و آسیب پذیر دارند اثرات مخرب و گاه جبران ناپذیر داشته باشند,79,https://open.spotify.com/show/5oJxOMLttosMDiPuTZYlWY
10,پادکست مختصر و مفید,Ardeshir Tayebi,کنج‌کاوی در تاریخ، سیاست و علم با اردشیر طیبی,50,https://open.spotify.com/show/7bCiopnv1MlEl2UEHWenqL
11,meditation podcast | مدیتیشن پادکست,meditation podcast,در هر اپیزود مدیتیشن پادکست، مدیتیشنی برای کمک به آرامش عمیق، زیستن در حال و جریان آرام تر زندگی ارائه می دهیم. برای شما ذهنی آرام و قلبی سرشار از عشق آرزومندیم.,58,https://open.spotify.com/show/2KqzlJNguHFSjx73jR0JAv
12,On podcast پادکست آن,mersen,در هر اپیزود پادکست آن، داستان واقعی آدمها رو تعریف می‌کنیم تا سعی کنیم خودمون رو جاشون بذاریم.  اینجا بیشتر بشنوید، دانلود و دنبال کنید: http://onpodcast.ir/on.html,20,https://open.spotify.com/show/18dEbxRMhmCOSBLBzmjhiy
13,owrsi | پادکست اورسی,Saman Karampour,غیر سطحی ببینیم و بشنویم,11,https://open.spotify.com/show/5G5S9nV9WaMVbsJhU2FHys
14,پادکست فارسی ناوکست / Navcast/ترجمهٔ مستقل کتاب انسان خردمند,Roshan Abady,قسمتهای این فصل از ناوکست به صورت پیوسته به ترجمهٔ مستقل کتاب انسان خردمند میپردازند.اینجا بخش به بخش پیش میریم و قصد داریم با هویت خودمون بیشتر آشنا بشیم,74,https://open.spotify.com/show/2r3S4hgcs0ksj5V9jSuK0M
15,پادکست بوم,Mehdi Abbasi,پادکست فارسی تاریخ فلسفه,34,https://open.spotify.com/show/3a6TjdLquDQvSXtVXy7oXs
16,Moniaz Podcast | پادکست فارسی منیاز,moniaz,پادکست منیاز با هدف آگاهی بخشی در جهت ایجاد زندگی بهتر برای مخاطبین فعالیت می‌کند و در آن به بحث های عمومی با هدف رشد فردی افراد پرداخته می‌شود. مارا از طریق آیدی زید در شبکه های اجتماعی دنبال کنید. @moniazpodcast WWW.MONIAZPODCAST.COM,47,https://open.spotify.com/show/2pCF0JIZOagq3OJSIQ6abF
17,R.O.Tik | پادکست اروتیک,R.O.✔,🔞تنها پادکست اروتیک ایرونی!🍑🍆نود یا صداس سکستون رو برامون بفرستین💦 #ErotikPodcast پادکست_اروتیک #اروتیک# 👇🏼همه اپیزود‌ها، فیلم‌ها، بقیه چیزا تو لینک زیره👇🏼,7,https://open.spotify.com/show/7gFfKTEEE0ILmTLP2sIseZ
18, Saate Sefr | پادکست فارسی ساعت صفر ,Amin Matin | امین متین,ساعت صفر روایتی است از معمای زمان | *توجه : شاید شنیدن این پادکست برای افراد زیر 15 سال مناسب نباشد,39,https://open.spotify.com/show/6ZbOqYS6h8Q4e2h2QW0N1R
19,Ravi | پادکست فارسی راوی,arash kaviani,ما روایت گر قصه زندگی افرادی هستیم که یک چالشی توی زندگیشون باعث شده قصه زندگیشون شنیدنی تر بشه.  -قصه های هر اپیزود کاملا جدا از اپیزود های دیگه هستش مگر اینکه اپیزود سریالی باشه. پس با خیال راحت از هر قصه ای خواستید شروع کنید. -ما هفتم به هفتم هر ماه یک قصه جدید منتشر میکنیم # قصه زندگی # فارسی # قصه واقعی # زندگی واقعی  # زندگی # ایرانی,23,https://open.spotify.com/show/6YpWbAA0PL9A3jEF3jDDct
20,پادکست – جادی دات نت | کیبرد آزاد,Jadi,در دفاع از آزادی کیبرد,20,https://open.spotify.com/show/2la9aW3sYTNjxVaaRXj8u4
21,پادکست فارسی هری پاتر | Harry Potter Podcast,Leila Ashrafi | Ahmad Nahvi,.با هر قسمت از این پادکست میخوایم شما رو توی دنیای هری پاتر غرق کنیم,52,https://open.spotify.com/show/1ijNCMDHt6xXSRm63qpBdQ
22,Ucast | پادکست فارسی,U-nes Mohamadi,اینجا حرفهایی می زنم ، مخاطب من تو نیستی، مخاطب من آن کسی است که قرار است تو اینها را برایش تعریف کنی.  پس ذهنت را نعنایی کن، بازِ باز گوش کن، تعریف کن.  صاحابِ همین رادیو یونس محمدی,28,https://open.spotify.com/show/2PxNZunNenuttT09PHb0qz
23,Naaji /پادکست فارسی ناجی,Pari,در پادکست ناجی:  معروف ترین کتابها و متدهای معتبر دنیا در زمینه خودشناسی، رو به زبان ساده بازگو میکنیم.  و محور گفتگو ها،  در جهت افزایش سطح آگاهی در زندگی و تجربه داشتن حس بهتر به خودمون و هرآنچه در پیرامون ما، در گذر است.,20,https://open.spotify.com/show/235eiQ2PleezeJdpayrbJ2
24,Paragraph | پاراگراف,Alireza Banijani,تاریخ مثل قصه‌ست، قصه‌ها کمک می‌کنند ما عمیق‌تر زندگی کنیم.,23,https://open.spotify.com/show/1vvy8dbTpocnVVczdBAdKF
25,DOX Podcast|پادکست داکس,Peyman Bashar Doost,در پادکست داکس در مورد فیلمهای مستندی که میبینم صحبت میکنم.  برای موضوعات تصویری و تکمیلی، میتوانید به  حساب توییتر، یوتیوب و صفحه اینستاگرام پادکست داکس مراجعه کنید. پیمان بشردوست,20,https://open.spotify.com/show/4PRV1w16TrOH5Iowf6iKfK
26,LEM | پادکست لم,Amir Shokati - Arman Hosseini,آنچه باید کشف کنیم --- در پادکست لِم راجع به توانایی‌های کوچک اما کاربردی صحبت می‌شود که با دانستن آنها می‌توانیم کیفیت زندگی و کار خود را بهبود دهیم. این برنامه توسط امیر شوکتی و آرمان حسینی ضبط می‌شود و زمان پخش آن چهارشنبه‌های هر هفته ساعت ۱۷ به وقت تهران است. --- LEM Podcasts talk about small but functional abilities that can help us improve the quality of our life and work. The program is recorded by Amir Shokati and Arman Hosseini and publish every Wednesday at 5 pm (Tehran Time).,20,https://open.spotify.com/show/4bgQ4UQHijJ1DDesBDACiI
27,پادکست پرسه زنی در بازار,mehdi70501002,پرسه زنی در بازار جاییه که من درباره مفاهیم مربوط به بازار سرمایه و رویدادهای روز اون حرف میزنم، موضوعاتی که در این زمینه برام جالبه.,51,https://open.spotify.com/show/64iDUGWtD72uiA11K1ukTW
28,پادکست فارسی   Nikoo Show   نیکو شو,Alireza Nikoo,"خوش اومدین نیکو شو ! این شو به صورت هفتگی بوده که ما در مورد هر چیزی صحبت می کنیم ، هر هفته یک مهمان جدید بهتون معرفی می شه و در مورد مسائل به صورت دوستانت و تخصصی بحث می کنیم   Welcome to Nikoo Show! This is a weekly show , where we talk about everything and anything. Each week you will be introduced to a new guest and you will sit in with us on our conversation.  This show is produced and hosted by Dr.Nikoo himself. He is known for his social media presence, His speaches throught Tehran, the face of medical sport testing in Iran , and most of all being your local Pharm D. Support this podcast: https://anchor.fm/drnikoo/support",38,https://open.spotify.com/show/6R48yp2xuWipsMp0bxLYYp
29,پادکست جعبه // Jabe Persian Podcast (Mansour Zabetian),Jabe podcast,درِ اين جعبه را كه باز كنيد چيزهايى از ادبيات و فرهنگ و هنر پيدا خواهيد كرد... شايد هم چيزهايى بيشتر... كارى از منصور ضابطيان,16,https://open.spotify.com/show/75QdOJfKfhv8gEutngX4cR
30,پادکست فوتبال لب,Football Lab Podcast,پادکست فارسی هفتگی تحلیل فوتبال باشگاهی اروپا - تحلیل هایی که هیچ جای دیگه نمی شنوید,182,https://open.spotify.com/show/6S82Q07p4narWKcfquYbHy
31,MimmPodcast | پادکست میم,Mehdi Abbasi,روایت فارسی برترین مقاله‌های روزنامه‌نگاری دنیا، که برنده یا نامزد جایزه‌های معتبری مثل پولیتزر بودن,23,https://open.spotify.com/show/3fhdKnBff6n8gQpB5eXDM1
